#options: 1280x720 fps=25/1 timebase=1/25 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=0.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:122 out:123 type:b dur:2 cpbdur:2 q:29.70 tex:10964 mv:9088 misc:1644 imb:93 pmb:700 smb:2807 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:29.53 tex:74534 mv:14197 misc:2365 imb:662 pmb:968 smb:1970 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:29.71 tex:4003 mv:472 misc:1565 imb:2 pmb:269 smb:3329 d:- ref:0 ;
in:128 out:126 type:P dur:2 cpbdur:2 q:29.59 tex:112875 mv:19431 misc:2742 imb:805 pmb:1461 smb:1334 d:- ref:0 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:29.63 tex:18290 mv:13051 misc:1875 imb:154 pmb:916 smb:2530 d:- ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:29.67 tex:23136 mv:13793 misc:1319 imb:228 pmb:758 smb:2614 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:29.89 tex:74803 mv:16567 misc:2214 imb:386 pmb:1444 smb:1770 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:30.08 tex:4532 mv:602 misc:1786 imb:5 pmb:319 smb:3276 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:29.96 tex:124195 mv:18226 misc:1571 imb:523 pmb:1243 smb:1834 d:- ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:30.02 tex:29364 mv:15446 misc:1774 imb:228 pmb:913 smb:2459 d:- ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:30.05 tex:14728 mv:12145 misc:1687 imb:99 pmb:797 smb:2704 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:29.99 tex:12769 mv:10756 misc:1451 imb:74 pmb:695 smb:2831 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:30.25 tex:4088 mv:593 misc:1487 imb:2 pmb:264 smb:3334 d:- ref:0 ;
in:139 out:136 type:P dur:2 cpbdur:2 q:30.13 tex:89954 mv:16662 misc:2504 imb:247 pmb:1685 smb:1668 d:- ref:0 ;
in:137 out:137 type:B dur:2 cpbdur:2 q:30.19 tex:15777 mv:10353 misc:1918 imb:45 pmb:853 smb:2702 d:- ref:0 ;
in:136 out:138 type:b dur:2 cpbdur:2 q:30.22 tex:6200 mv:8035 misc:1581 imb:21 pmb:588 smb:2991 d:- ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:30.16 tex:4933 mv:6151 misc:1508 imb:28 pmb:489 smb:3083 d:- ref:0 ;
in:143 out:140 type:P dur:2 cpbdur:2 q:30.15 tex:79641 mv:16942 misc:1921 imb:621 pmb:1269 smb:1710 d:- ref:0 ;
in:141 out:141 type:B dur:2 cpbdur:2 q:30.14 tex:7113 mv:7088 misc:1919 imb:20 pmb:640 smb:2940 d:- ref:0 ;
in:140 out:142 type:b dur:2 cpbdur:2 q:30.14 tex:230 mv:614 misc:1076 imb:1 pmb:222 smb:3377 d:- ref:0 ;
in:142 out:143 type:b dur:2 cpbdur:2 q:30.15 tex:9490 mv:8547 misc:1667 imb:58 pmb:627 smb:2915 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:30.07 tex:88684 mv:15860 misc:1736 imb:488 pmb:1279 smb:1833 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:30.28 tex:3103 mv:631 misc:1306 imb:3 pmb:211 smb:3386 d:- ref:0 ;
in:148 out:146 type:P dur:2 cpbdur:2 q:30.17 tex:100922 mv:22351 misc:2527 imb:459 pmb:1913 smb:1228 d:- ref:0 ;
in:147 out:147 type:B dur:2 cpbdur:2 q:30.21 tex:13837 mv:11319 misc:2540 imb:58 pmb:971 smb:2571 d:- ref:0 ;
in:146 out:148 type:b dur:2 cpbdur:2 q:30.24 tex:15262 mv:10416 misc:1722 imb:91 pmb:746 smb:2763 d:- ref:0 ;
in:151 out:149 type:P dur:2 cpbdur:2 q:30.36 tex:84746 mv:25079 misc:2519 imb:357 pmb:2359 smb:884 d:- ref:0 ;
in:150 out:150 type:B dur:2 cpbdur:2 q:30.30 tex:11403 mv:13065 misc:2820 imb:27 pmb:1102 smb:2471 d:- ref:0 ;
in:149 out:151 type:b dur:2 cpbdur:2 q:30.23 tex:1337 mv:2700 misc:1979 imb:1 pmb:471 smb:3128 d:- ref:0 ;
in:153 out:152 type:P dur:2 cpbdur:2 q:30.44 tex:124291 mv:31078 misc:1815 imb:642 pmb:2513 smb:445 d:- ref:0 ;
in:152 out:153 type:b dur:2 cpbdur:2 q:30.41 tex:14409 mv:17956 misc:2947 imb:64 pmb:1279 smb:2257 d:- ref:0 ;
in:154 out:154 type:P dur:2 cpbdur:2 q:30.79 tex:95699 mv:27735 misc:2158 imb:415 pmb:2638 smb:547 d:- ref:0 ;
in:155 out:155 type:P dur:2 cpbdur:2 q:31.06 tex:2524 mv:802 misc:1322 imb:8 pmb:217 smb:3375 d:- ref:0 ;
in:157 out:156 type:P dur:2 cpbdur:2 q:30.95 tex:114706 mv:31632 misc:1790 imb:737 pmb:2397 smb:466 d:- ref:0 ;
in:156 out:157 type:b dur:2 cpbdur:2 q:31.01 tex:13713 mv:18655 misc:3088 imb:65 pmb:1387 smb:2148 d:- ref:0 ;
in:158 out:158 type:P dur:2 cpbdur:2 q:31.27 tex:60056 mv:23880 misc:2752 imb:392 pmb:2232 smb:976 d:- ref:0 ;
in:159 out:159 type:P dur:2 cpbdur:2 q:31.41 tex:81061 mv:27364 misc:2351 imb:542 pmb:2429 smb:629 d:- ref:0 ;
in:161 out:160 type:P dur:2 cpbdur:2 q:31.63 tex:59744 mv:24122 misc:2870 imb:461 pmb:2146 smb:993 d:- ref:0 ;
